"allele" "1-D" "Hexp" "Evenness"
"FamC2Ba" 5 0.487533139755082 0.488906472543124 0.605595936497573
"Fam587a" 8 0.719905946218912 0.721933850292768 0.759826909098345
"VicYESa" 6 0.621212599419265 0.622962494065517 0.774512894590402
"VicFG7a" 7 0.613811387451079 0.615540433612913 0.611456304919177
"NedWE1a" 8 0.566421537684636 0.568017091311916 0.591786538914324
"Ned121a" 8 0.722509495994127 0.724556265104592 0.682601126174806
"FamT2Na" 5 0.550656482767327 0.552207627789207 0.657649572970948
"FamXAFa" 7 0.642998866213152 0.644918265813788 0.728410337241547
"Vic147a" 9 0.438628329756344 0.439863902516221 0.495707306331123
"NedODDa" 9 0.755523292513572 0.75765152714037 0.722061788002863
"NedMIWa" 3 0.468627698522914 0.469947776546922 0.820772622353667
"PetGVBa" 5 0.479926776922106 0.481278683335971 0.608067255015048
"FamPM5a" 7 0.55845221562934 0.560025320462098 0.735085314788734
"FamQ9Da" 3 0.654888902916298 0.656733660389302 0.973842991480911
"Vic468a" 6 0.270341497285696 0.271103022630163 0.472279683996061
"Ned7LFa" 14 0.615244661495739 0.616987564219523 0.524176074036738
"PetQWBa" 3 0.545843327862644 0.547380914701693 0.788623450192052
"PetQWVa" 3 0.541866557252872 0.54339294192119 0.857262072019803
"FamPUIa" 5 0.583796237848756 0.585440734293401 0.752560721237584
"Vic222a" 6 0.476581239742457 0.477923722107928 0.580859259953946
"NedEZEa" 4 0.63871354626941 0.640512739357493 0.819921860741108
"PetSGUa" 5 0.580466481504861 0.58210159835417 0.676344500461898
"Pet8RAa" 4 0.225634389597273 0.226269979427125 0.516813336463444
"PetORPa" 6 0.598567100113622 0.600253204620984 0.767129239542393
"PetBI5a" 3 0.625994192652443 0.627757556575407 0.926984702590839
"Ned130a" 5 0.615989142785002 0.617724323468903 0.72555360742162
"Fam829a" 12 0.625599671758616 0.627361924355119 0.568156304322182
"Fam677a" 4 0.461920843327863 0.463222028802026 0.693408845323603
"Fam84Pa" 5 0.294502195247934 0.295341232841233 0.555169868343933
"FamWMUa" 4 0.497759121323065 0.499161259692989 0.808493615562574
"FamL7Za" 4 0.628598030551698 0.630368729229308 0.77320668824922
"PetUAXa" 4 0.666629844716576 0.668507675265074 0.980118154354458
"Fam932a" 3 0.0494097967428355 0.0495489792688717 0.384632793173375
"Vic192a" 3 0.581350208307032 0.582987814527615 0.884882129626956
"mean" 5.67647058823529 0.541350139945604 0.542879156370145 0.700704523705684
