lat,lon,Marker,Colour,Id de punto,Lgend,Alt. Elip.
37.591830505555600,-6.3553498555555500000,circle1,white,51,,356.9233
37.591839327777800,-6.3553446194444400000,circle1,white,52,,356.8793
37.591843383333300,-6.3553456111111100000,circle1,white,53,,356.984
37.591849694444400,-6.3553446000000000000,circle1,blue,54,,356.9288
37.591852622222200,-6.3553336916666700000,circle1,white,55,,356.7689
37.591861802777800,-6.3553265583333300000,circle1,white,56,,356.9531
37.591863458333300,-6.3553277916666700000,circle1,white,57,,356.8978
37.591862083333300,-6.3553266416666700000,circle1,white,58,,356.9935
37.591860905555600,-6.3553310805555600000,circle1,white,59,,356.7604
37.591867502777800,-6.3553376805555600000,circle1,blue,60,,356.9478
37.591864738888900,-6.3553229805555600000,circle1,white,61,,357.1631
37.591871480555600,-6.3553350444444400000,circle1,blue,62,,357.0272
37.591871172222200,-6.3553318222222200000,circle1,white,63,,356.9051
37.591863266666700,-6.3553297416666700000,circle1,white,64,,356.89
37.591868319444400,-6.3553261777777800000,circle1,white,65,,356.9914
37.591863255555600,-6.3553508638888900000,circle1,white,66,,361.0443
37.591861580555600,-6.3553240527777800000,circle1,white,67,,357.6916
37.591858780555600,-6.3553148722222200000,circle1,white,68,,357.2823
37.591867697222200,-6.3553174027777800000,circle1,white,69,,357.4457
37.591874727777800,-6.3553353500000000000,circle1,white,70,,357.0932
37.591873430555600,-6.3553183388888900000,circle1,white,71,,357.3401
37.591876469444400,-6.3553161750000000000,circle1,white,72,,357.4102
37.591876916666700,-6.3553185638888900000,circle1,blue,73,,357.3481
37.591877272222200,-6.3553175888888900000,circle1,white,74,,357.3452
37.591878888888900,-6.3553197388888900000,circle1,white,75,,357.2577
37.591882080555600,-6.3553371055555500000,circle1,white,76,,357.1824
37.591881583333300,-6.3553394944444400000,circle1,white,77,,357.3108
37.591883675000000,-6.3553392555555600000,circle1,blue,78,,357.2903
37.591885450000000,-6.3553388888888900000,circle1,white,79,,357.2663
37.591885725000000,-6.3553340166666700000,circle1,white,80,,357.2206
37.591888336111100,-6.3553426638888900000,circle1,white,81,,357.4429
