CHE101,4,10,1,4,3,7,9,8,9,1,3,7,1,4,10,1,4,8,7,4,8,8,5,5,7,4,4,1,4,2,1,12,6
CHE103,4,10,1,4,3,7,9,8,9,1,3,7,1,4,10,1,4,8,6,4,8,8,5,5,7,4,4,1,4,2,1,12,6
CHE104,4,10,1,4,1,7,9,4,9,1,9,4,1,4,10,1,4,8,6,4,8,8,5,5,7,4,8,1,5,2,1,12,6
CHE105,4,10,1,4,3,7,9,8,9,1,3,7,1,4,10,1,4,8,6,4,8,8,5,5,7,4,8,1,4,2,1,12,6
CHE107,4,10,1,4,3,7,9,8,9,1,3,7,1,4,10,1,4,8,6,4,8,8,5,5,7,4,8,1,4,1,1,12,6
CHE111,4,10,1,4,3,7,9,6,9,1,3,4,1,4,10,1,4,8,7,4,8,8,5,5,7,4,8,1,5,2,1,12,1
CHE112,4,10,1,4,3,7,9,6,9,1,3,4,1,4,10,1,4,8,5,4,8,7,5,5,7,4,8,1,5,2,1,12,1
CHE113,4,10,1,4,3,7,9,4,9,1,3,4,1,4,10,1,4,8,6,4,8,8,5,5,7,4,8,1,5,2,1,12,1
CHE115,4,10,1,4,3,1,9,6,9,1,3,4,1,4,10,1,4,8,6,4,8,8,5,5,7,4,8,1,5,2,1,12,1
CHE201,4,10,1,4,3,7,9,6,9,1,3,7,1,4,10,1,4,8,5,4,8,8,5,5,7,4,4,1,4,2,1,12,1
CHE202,4,10,1,4,1,7,9,8,9,1,3,7,1,4,10,1,4,8,5,4,8,8,5,5,7,4,4,1,4,2,1,12,6
CHE205,4,10,1,4,1,7,9,8,9,1,3,7,1,4,10,1,4,8,5,4,8,8,5,5,7,4,4,1,4,2,1,12,1
CHE207,4,10,1,4,1,7,9,8,9,1,3,7,1,4,10,1,4,8,5,4,7,8,5,5,7,4,8,1,4,2,1,12,1
CHE208,4,10,1,4,1,7,9,8,9,1,3,7,1,4,10,1,4,8,5,4,7,8,5,5,7,4,8,1,4,1,1,12,1
CHE212,4,10,1,4,3,7,9,6,9,1,3,7,1,4,10,1,4,8,5,4,8,8,5,5,7,4,4,1,4,2,1,12,1
CHE213,4,11,14,4,1,7,9,8,9,1,5,7,4,7,10,1,4,8,5,4,7,8,5,5,7,4,4,1,4,1,10,12,6
CHE214,4,10,1,4,1,7,9,8,9,1,3,7,1,4,10,1,4,8,5,4,7,8,5,5,7,4,4,1,4,2,1,12,6
CHE215,4,10,1,4,1,7,9,8,9,1,3,7,1,4,10,1,4,8,5,4,7,8,5,5,7,4,8,1,4,2,1,12,1
MON01,5,18,4,7,7,7,8,6,27,7,1,10,3,5,3,1,4,18,4,6,7,9,9,4,5,12,4,1,4,5,25,13,1
MON02,3,23,2,13,7,8,8,5,15,7,9,7,3,5,17,1,3,8,3,6,7,8,6,4,5,12,7,2,4,2,25,13,1
MON03,9,17,2,9,7,8,19,5,15,1,9,7,3,5,17,8,3,9,3,6,6,8,8,1,5,12,4,2,4,2,25,12,1
MON04,9,18,4,13,7,7,8,5,27,7,1,6,3,2,17,1,3,18,4,6,6,9,7,4,5,12,4,1,4,2,25,13,1
MON05,9,18,2,13,7,8,19,5,15,6,9,10,3,5,17,8,3,18,3,6,6,9,6,1,5,12,4,2,4,2,25,12,1
MON06,9,23,2,13,7,8,19,5,15,6,9,7,3,4,17,8,3,8,3,6,6,9,6,1,5,12,7,2,4,2,25,12,1
MON07,9,23,2,13,7,8,8,5,15,6,9,7,3,4,17,8,3,17,5,5,6,8,6,1,5,12,7,2,4,2,25,12,1
